city,state,median_age,male_population,female_population,total_population,state_code
East Los Angeles,California,32.6,60460.0,59206.0,119666,CA
Renton,Washington,36.3,52779.0,47468.0,100247,WA
Youngs,Ohio,37.5,30758.0,33851.0,64609,OH
Youngs,Ohio,37.5,30758.0,33851.0,64609,OH
Laguna Niguel,California,45.8,30193.0,35619.0,65812,CA
Oxnard,California,31.0,101906.0,105346.0,207252,CA
Edinburg,Texas,29.3,39422.0,45079.0,84501,TX
Hayward,California,34.3,78152.0,80148.0,158300,CA
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,FL
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,FL
South Bend,Indiana,32.4,50483.0,53274.0,103757,IN
Hartford,Connecticut,31.0,58042.0,65972.0,124014,CT
Birmingham,Alabama,35.6,102122.0,112789.0,214911,AL
Hawthorne,California,33.7,43682.0,44762.0,88444,CA
Boca Raton,Florida,47.3,44760.0,48466.0,93226,FL
Hammond,Indiana,36.0,38923.0,38687.0,77610,IN
Hammond,Indiana,36.0,38923.0,38687.0,77610,IN
Cary,North Carolina,39.9,78932.0,81582.0,160514,NC
Cary,North Carolina,39.9,78932.0,81582.0,160514,NC
Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,MO
Palm Bay,Florida,40.7,51767.0,56128.0,107895,FL
Plantation,Florida,40.6,42881.0,49674.0,92555,FL
Plantation,Florida,40.6,42881.0,49674.0,92555,FL
Cicero,Illinois,28.5,43153.0,40714.0,83867,IL
Durham,North Carolina,33.2,121153.0,136445.0,257598,NC
Irving,Texas,32.3,117189.0,119428.0,236617,TX
Elgin,Illinois,35.7,54852.0,56224.0,111076,IL
Whittier,California,36.1,44397.0,43039.0,87436,CA
Syracuse,New York,30.3,69462.0,74690.0,144152,NY
Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,GA
Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,MI
Chesapeake,Virginia,36.7,114964.0,120465.0,235429,VA
McAllen,Texas,32.3,68332.0,71921.0,140253,TX
Carlsbad,California,42.1,55119.0,58347.0,113466,CA
Vallejo,California,37.8,58379.0,62890.0,121269,CA
Palm Coast,Florida,48.8,39489.0,42632.0,82121,FL
Orlando,Florida,33.1,130940.0,139977.0,270917,FL
Albany,Georgia,33.3,31695.0,39414.0,71109,GA
Hialeah,Florida,43.0,111530.0,125552.0,237082,FL
Clifton,New Jersey,38.5,41932.0,44409.0,86341,NJ
San Angelo,Texas,32.8,49669.0,50744.0,100413,TX
Parma,Ohio,40.8,38425.0,41518.0,79943,OH
Aurora,Colorado,34.2,177899.0,180971.0,358870,CO
Loveland,Colorado,37.6,37042.0,38146.0,75188,CO
Boise,Idaho,34.9,110099.0,108181.0,218280,ID
Redlands,California,36.2,33993.0,37035.0,71028,CA
Chino,California,36.5,50989.0,34610.0,85599,CA
Chino,California,36.5,50989.0,34610.0,85599,CA
Plymouth,Minnesota,38.4,39035.0,36893.0,75928,MN
Las Vegas,Nevada,37.5,310568.0,313201.0,623769,NV
Mobile,Alabama,38.0,91275.0,103030.0,194305,AL
Mobile,Alabama,38.0,91275.0,103030.0,194305,AL
Suffolk,Virginia,38.2,43048.0,45113.0,88161,VA
League City,Texas,35.9,49354.0,48996.0,98350,TX
Davis,California,26.3,33493.0,34163.0,67656,CA
Temecula,California,34.2,54407.0,57619.0,112026,CA
Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,MA
Tucson,Arizona,33.6,264893.0,266781.0,531674,AZ
East Orange,New Jersey,35.5,29995.0,34967.0,64962,NJ
Houston,Texas,32.6,1149686.0,1148942.0,2298628,TX
Concord,California,39.6,62310.0,66358.0,128668,CA
Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,MD
Eagan,Minnesota,36.8,31587.0,34701.0,66288,MN
Orem,Utah,26.1,48695.0,45762.0,94457,UT
Orem,Utah,26.1,48695.0,45762.0,94457,UT
East Los Angeles,California,32.6,60460.0,59206.0,119666,CA
Independence,Missouri,38.6,54348.0,62907.0,117255,MO
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,FL
Alameda,California,41.4,37747.0,40867.0,78614,CA
Columbus,Georgia,33.7,98785.0,101794.0,200579,GA
Columbus,Georgia,33.7,98785.0,101794.0,200579,GA
Brandon,Florida,36.1,55679.0,58289.0,113968,FL
Bossier City,Louisiana,32.7,33428.0,34669.0,68097,LA
Huntington Beach,California,41.6,99967.0,101960.0,201927,CA
Hartford,Connecticut,31.0,58042.0,65972.0,124014,CT
Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,NC
Newport News,Virginia,32.8,88385.0,94000.0,182385,VA
Plantation,Florida,40.6,42881.0,49674.0,92555,FL
Overland Park,Kansas,38.2,93355.0,93156.0,186511,KS
Olathe,Kansas,33.0,65046.0,69270.0,134316,KS
Corpus Christi,Texas,35.0,160488.0,163594.0,324082,TX
Irving,Texas,32.3,117189.0,119428.0,236617,TX
Spring Hill,Florida,45.1,48295.0,54902.0,103197,FL
Dearborn,Michigan,33.5,46482.0,48698.0,95180,MI
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,KY
Shreveport,Louisiana,35.2,93138.0,103856.0,196994,LA
Springfield,Missouri,34.1,81057.0,85741.0,166798,MO
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,NJ
Arvada,Colorado,41.0,54870.0,60165.0,115035,CO
Gary,Indiana,38.1,35876.0,41478.0,77354,IN
Hollywood,Florida,41.4,75358.0,74363.0,149721,FL
Stamford,Connecticut,35.4,64941.0,63936.0,128877,CT
Yuma,Arizona,33.4,48298.0,45847.0,94145,AZ
Bay,Texas,32.9,37977.0,37508.0,75485,TX
Boise,Idaho,34.9,110099.0,108181.0,218280,ID
Bellflower,California,33.4,38936.0,39498.0,78434,CA
Waldorf,Maryland,33.6,35640.0,39872.0,75512,MD
Joliet,Illinois,33.1,70863.0,79162.0,150025,IL
Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,SC
Newton,Massachusetts,42.3,41985.0,46824.0,88809,MA
Sugar Land,Texas,42.1,43889.0,44240.0,88129,TX
Glendale,California,42.1,98181.0,102844.0,201025,CA
Baltimore,Maryland,34.7,294027.0,327822.0,621849,MD
Baltimore,Maryland,34.7,294027.0,327822.0,621849,MD
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,MI
Murrieta,California,35.3,49363.0,60453.0,109816,CA
Bend,Oregon,37.3,42294.0,44723.0,87017,OR
Centreville,Virginia,36.0,34749.0,37033.0,71782,VA
Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,WI
Ames,Iowa,23.0,33814.0,31238.0,65052,IA
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,MD
Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,NM
Gresham,Oregon,36.7,53866.0,56716.0,110582,OR
Federal Way,Washington,36.4,49151.0,46037.0,95188,WA
Jacksonville,Florida,35.7,419203.0,448828.0,868031,FL
Richmond,California,35.3,52615.0,57100.0,109715,CA
Elk Grove,California,36.1,80057.0,86833.0,166890,CA
San Mateo,California,39.3,50966.0,52558.0,103524,CA
Salinas,California,30.4,77765.0,79621.0,157386,CA
Salinas,California,30.4,77765.0,79621.0,157386,CA
Newport Beach,California,46.8,43161.0,43970.0,87131,CA
Newport Beach,California,46.8,43161.0,43970.0,87131,CA
Paradise,Nevada,37.2,122784.0,114162.0,236946,NV
Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,OK
Garden Grove,California,37.8,86779.0,88605.0,175384,CA
Garden Grove,California,37.8,86779.0,88605.0,175384,CA
Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,LA
Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,LA
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,OR
Cincinnati,Ohio,32.7,143654.0,154883.0,298537,OH
Fort Myers,Florida,37.3,36850.0,37165.0,74015,FL
Longview,Texas,36.8,40065.0,41525.0,81590,TX
Apple Valley,California,34.3,32873.0,39312.0,72185,CA
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,WI
Allen,Pennsylvania,33.5,60626.0,59581.0,120207,PA
Brownsville,Texas,30.6,87689.0,96199.0,183888,TX
Asheville,North Carolina,37.9,42100.0,46407.0,88507,NC
Rancho Cordova,California,33.8,34844.0,36182.0,71026,CA
Westminster,Colorado,37.8,54866.0,58251.0,113117,CO
Marysville,Washington,33.2,33436.0,33337.0,66773,WA
Visalia,California,32.6,63695.0,66399.0,130094,CA
Santa Barbara,California,37.8,45068.0,46784.0,91852,CA
Chula Vista,California,34.6,131485.0,134269.0,265754,CA
Danbury,Connecticut,37.3,43435.0,41227.0,84662,CT
Pueblo,Colorado,37.6,55635.0,53784.0,109419,CO
Iowa City,Iowa,25.5,37089.0,37138.0,74227,IA
Sacramento,California,33.7,237724.0,252991.0,490715,CA
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,FL
Round Rock,Texas,34.9,56646.0,59193.0,115839,TX
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,MD
Chico,California,29.9,46168.0,44168.0,90336,CA
Sioux City,Iowa,34.3,38827.0,43949.0,82776,IA
Washington,District of Columbia,33.8,319705.0,352523.0,672228,DC
Columbia,South Carolina,28.0,67686.0,65707.0,133393,SC
Columbia,South Carolina,28.0,67686.0,65707.0,133393,SC
Newark,New Jersey,34.6,138040.0,143873.0,281913,NJ
Lubbock,Texas,29.2,122320.0,126731.0,249051,TX
Lubbock,Texas,29.2,122320.0,126731.0,249051,TX
Gainesville,Florida,26.0,60803.0,69330.0,130133,FL
Peoria,Illinois,33.1,56229.0,62432.0,118661,IL
Miami Beach,Florida,42.5,48090.0,44221.0,92311,FL
Jersey City,New Jersey,34.3,131765.0,132512.0,264277,NJ
Akron,Ohio,38.1,96886.0,100667.0,197553,OH
Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,GA
Fall River,Massachusetts,39.3,43314.0,45456.0,88770,MA
Springfield,Illinois,38.8,55639.0,62170.0,117809,IL
Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,MN
Miami,Florida,40.4,215840.0,225149.0,440989,FL
Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,OK
Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,GA
Fort Myers,Florida,37.3,36850.0,37165.0,74015,FL
Pearland,Texas,33.9,52336.0,59329.0,111665,TX
Livermore,California,36.7,41522.0,46595.0,88117,CA
Berkeley,California,32.5,60142.0,60829.0,120971,CA
Lauderhill,Florida,35.7,32813.0,38761.0,71574,FL
Tampa,Florida,35.3,175517.0,193511.0,369028,FL
Santa Clara,California,35.2,63278.0,62938.0,126216,CA
Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,VA
Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,AR
Santa Rosa,California,37.9,86840.0,88149.0,174989,CA
Santa Rosa,California,37.9,86840.0,88149.0,174989,CA
Roseville,California,38.4,62591.0,67691.0,130282,CA
Fairfield,California,34.7,55550.0,57422.0,112972,CA
Fairfield,California,34.7,55550.0,57422.0,112972,CA
Metairie,Louisiana,41.6,69515.0,76943.0,146458,LA
Metairie,Louisiana,41.6,69515.0,76943.0,146458,LA
Visalia,California,32.6,63695.0,66399.0,130094,CA
Enterprise,Nevada,34.1,69146.0,66328.0,135474,NV
Decatur,Illinois,40.4,34646.0,38210.0,72856,IL
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,IL
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,CO
Yuba City,California,34.5,33654.0,33290.0,66944,CA
Iowa City,Iowa,25.5,37089.0,37138.0,74227,IA
Edmond,Oklahoma,32.5,45191.0,44899.0,90090,OK
Temple,Texas,33.6,33512.0,38785.0,72297,TX
Tucson,Arizona,33.6,264893.0,266781.0,531674,AZ
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,CT
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,CT
Cape Coral,Florida,45.0,85626.0,89604.0,175230,FL
Vancouver,Washington,37.2,82958.0,89895.0,172853,WA
Manteca,California,35.3,37053.0,38397.0,75450,CA
Manteca,California,35.3,37053.0,38397.0,75450,CA
South San Francisco,California,39.4,34177.0,33094.0,67271,CA
Stockton,California,32.5,150976.0,154674.0,305650,CA
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,IN
Chandler,Arizona,35.6,128885.0,131948.0,260833,AZ
Pine Hills,Florida,29.2,35344.0,40737.0,76081,FL
Montgomery,Alabama,35.4,94582.0,106004.0,200586,AL
Flagstaff,Arizona,23.9,33224.0,37093.0,70317,AZ
Ontario,California,31.0,85059.0,86141.0,171200,CA
New Orleans,Louisiana,35.9,185736.0,203881.0,389617,LA
Huntington Beach,California,41.6,99967.0,101960.0,201927,CA
New York,New York,36.0,4081698.0,4468707.0,8550405,NY
Camden,New Jersey,27.9,36437.0,39694.0,76131,NJ
Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,PA
San Ramon,California,39.1,39221.0,36911.0,76132,CA
Riverview,Florida,32.2,44210.0,45536.0,89746,FL
Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,IL
Birmingham,Alabama,35.6,102122.0,112789.0,214911,AL
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,AR
Moreno Valley,California,30.7,98584.0,105597.0,204181,CA
Moreno Valley,California,30.7,98584.0,105597.0,204181,CA
Nampa,Idaho,31.4,45651.0,44199.0,89850,ID
Bellevue,Washington,37.4,70763.0,69051.0,139814,WA
Saint Louis,Missouri,35.0,153026.0,162659.0,315685,MO
Kansas City,Missouri,35.9,228430.0,246931.0,475361,MO
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,NH
Suffolk,Virginia,38.2,43048.0,45113.0,88161,VA
Centennial,Colorado,42.4,53222.0,56504.0,109726,CO
Sunrise,Florida,37.7,41471.0,51235.0,92706,FL
Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,MA
Warwick,Rhode Island,42.6,39289.0,42409.0,81698,RI
Bryan,Texas,29.4,41761.0,40345.0,82106,TX
McKinney,Texas,35.6,77339.0,85548.0,162887,TX
Fremont,California,38.3,114383.0,117808.0,232191,CA
Spring Hill,Florida,45.1,48295.0,54902.0,103197,FL
Elgin,Illinois,35.7,54852.0,56224.0,111076,IL
El Paso,Texas,33.1,332797.0,348339.0,681136,TX
Shreveport,Louisiana,35.2,93138.0,103856.0,196994,LA
Spokane Valley,Washington,36.0,49933.0,44975.0,94908,WA
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,NJ
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,NJ
Richardson,Texas,35.5,54676.0,56151.0,110827,TX
Waco,Texas,29.3,63452.0,68890.0,132342,TX
Waco,Texas,29.3,63452.0,68890.0,132342,TX
Knoxville,Tennessee,33.1,89978.0,95334.0,185312,TN
Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,OK
Oceanside,California,39.4,87482.0,88232.0,175714,CA
New Braunfels,Texas,37.0,33071.0,36852.0,69923,TX
Laredo,Texas,28.8,124305.0,131484.0,255789,TX
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,TN
South Gate,California,32.5,47758.0,48641.0,96399,CA
Hampton,Virginia,35.5,66214.0,70240.0,136454,VA
Worcester,Massachusetts,34.9,90951.0,93855.0,184806,MA
Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,VA
Metairie,Louisiana,41.6,69515.0,76943.0,146458,LA
Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,FL
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,FL
Chula Vista,California,34.6,131485.0,134269.0,265754,CA
Danbury,Connecticut,37.3,43435.0,41227.0,84662,CT
Edmond,Oklahoma,32.5,45191.0,44899.0,90090,OK
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,SC
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,FL
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,NH
Salt Lake City,Utah,32.1,98364.0,94296.0,192660,UT
Albany,New York,32.8,47627.0,50825.0,98452,NY
Napa,California,37.2,39828.0,40601.0,80429,CA
Centennial,Colorado,42.4,53222.0,56504.0,109726,CO
Atlanta,Georgia,33.8,223960.0,239915.0,463875,GA
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,MO
Mount Vernon,New York,38.5,31876.0,36745.0,68621,NY
Jackson,Tennessee,35.3,30007.0,36973.0,66980,TN
Jackson,Tennessee,35.3,30007.0,36973.0,66980,TN
Lynchburg,Virginia,28.7,38614.0,41198.0,79812,VA
Arden-Arcade,California,41.5,47596.0,48680.0,96276,CA
Tucson,Arizona,33.6,264893.0,266781.0,531674,AZ
Westminster,California,42.9,45538.0,46573.0,92111,CA
Rockville,Maryland,38.1,31205.0,35793.0,66998,MD
Cape Coral,Florida,45.0,85626.0,89604.0,175230,FL
Cleveland,Ohio,36.0,186436.0,201623.0,388059,OH
Lake Forest,California,40.3,41515.0,40982.0,82497,CA
Bakersfield,California,30.6,182154.0,191473.0,373627,CA
Irvine,California,34.6,125411.0,131516.0,256927,CA
Renton,Washington,36.3,52779.0,47468.0,100247,WA
Norman,Oklahoma,30.9,59483.0,60814.0,120297,OK
Duluth,Minnesota,34.7,41271.0,44855.0,86126,MN
Odessa,Texas,31.2,61119.0,57861.0,118980,TX
Tempe,Arizona,28.8,91350.0,84476.0,175826,AZ
Waukegan,Illinois,32.3,45514.0,42833.0,88347,IL
Arlington,Texas,32.6,191060.0,197062.0,388122,TX
Seattle,Washington,35.5,345659.0,338784.0,684443,WA
New York,New York,36.0,4081698.0,4468707.0,8550405,NY
Lancaster,California,30.9,80668.0,80445.0,161113,CA
San Ramon,California,39.1,39221.0,36911.0,76132,CA
Wilmington,Delaware,36.4,32680.0,39277.0,71957,DE
Wilmington,Delaware,36.4,32680.0,39277.0,71957,DE
Appleton,Wisconsin,35.6,37217.0,38038.0,75255,WI
Boca Raton,Florida,47.3,44760.0,48466.0,93226,FL
Roswell,Georgia,38.8,48637.0,45859.0,94496,GA
Topeka,Kansas,37.1,60879.0,66378.0,127257,KS
Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,MO
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,MI
Melbourne,Florida,43.4,39180.0,40956.0,80136,FL
Overland Park,Kansas,38.2,93355.0,93156.0,186511,KS
Poinciana,Florida,34.2,38142.0,35801.0,73943,FL
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,NC
Durham,North Carolina,33.2,121153.0,136445.0,257598,NC
Mobile,Alabama,38.0,91275.0,103030.0,194305,AL
Lawrence,Kansas,27.4,45592.0,48324.0,93916,KS
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,MA
Citrus Heights,California,37.8,41982.0,45071.0,87053,CA
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,CT
Akron,Ohio,38.1,96886.0,100667.0,197553,OH
Elk Grove,California,36.1,80057.0,86833.0,166890,CA
Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,GA
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,NE
Paradise,Nevada,37.2,122784.0,114162.0,236946,NV
Bellingham,Washington,30.7,41286.0,43857.0,85143,WA
Bellingham,Washington,30.7,41286.0,43857.0,85143,WA
Pasco,Washington,28.6,35298.0,32799.0,68097,WA
Folsom,California,40.9,41051.0,35317.0,76368,CA
Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,MN
Wichita Falls,Texas,34.0,55775.0,48934.0,104709,TX
Irving,Texas,32.3,117189.0,119428.0,236617,TX
Thornton,Colorado,33.1,65482.0,67977.0,133459,CO
Lansing,Michigan,31.4,54333.0,59777.0,114110,MI
Lynwood,California,29.4,35634.0,36371.0,72005,CA
Allen,Texas,37.2,51324.0,46814.0,98138,TX
Henderson,Nevada,42.5,139412.0,146246.0,285658,NV
Norfolk,Virginia,30.2,128917.0,117476.0,246393,VA
Redondo Beach,California,43.0,34855.0,33330.0,68185,CA
Knoxville,Tennessee,33.1,89978.0,95334.0,185312,TN
Frisco,Texas,37.2,73989.0,80399.0,154388,TX
Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,MI
Hialeah,Florida,43.0,111530.0,125552.0,237082,FL
Clifton,New Jersey,38.5,41932.0,44409.0,86341,NJ
San Angelo,Texas,32.8,49669.0,50744.0,100413,TX
Saint George,Utah,37.3,38732.0,41475.0,80207,UT
Bay,Texas,32.9,37977.0,37508.0,75485,TX
Harlingen,Texas,30.1,32404.0,33365.0,65769,TX
Denver,Colorado,34.1,341137.0,341408.0,682545,CO
Garland,Texas,34.5,116406.0,120430.0,236836,TX
Layton,Utah,29.5,37748.0,36394.0,74142,UT
Dayton,Ohio,32.8,66631.0,73966.0,140597,OH
San Marcos,California,35.4,45246.0,47688.0,92934,CA
Indio,California,35.9,43803.0,43723.0,87526,CA
Camarillo,California,40.8,31941.0,35682.0,67623,CA
Rochester,Minnesota,35.0,54934.0,57282.0,112216,MN
Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,MI
Downey,California,37.3,53006.0,61205.0,114211,CA
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,CA
Columbia,South Carolina,28.0,67686.0,65707.0,133393,SC
Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,NV
Everett,Washington,37.0,56212.0,51800.0,108012,WA
Federal Way,Washington,36.4,49151.0,46037.0,95188,WA
Jacksonville,Florida,35.7,419203.0,448828.0,868031,FL
Waterloo,Iowa,37.2,34488.0,33969.0,68457,IA
Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,AL
Baldwin Park,California,35.8,38747.0,38309.0,77056,CA
Baldwin Park,California,35.8,38747.0,38309.0,77056,CA
Elk Grove,California,36.1,80057.0,86833.0,166890,CA
Oakland,California,35.7,203827.0,215451.0,419278,CA
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,NE
Miami,Florida,40.4,215840.0,225149.0,440989,FL
High Point,North Carolina,35.5,51751.0,58077.0,109828,NC
Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,OK
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,WI
Milpitas,California,36.8,40098.0,37519.0,77617,CA
Union City,California,38.5,38599.0,35911.0,74510,CA
Lakeland,Florida,38.1,47840.0,56570.0,104410,FL
Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,FL
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,WI
Rancho Cordova,California,33.8,34844.0,36182.0,71026,CA
Paterson,New Jersey,34.0,70640.0,77117.0,147757,NJ
Lakewood,Colorado,37.7,76013.0,76576.0,152589,CO
Enterprise,Nevada,34.1,69146.0,66328.0,135474,NV
Macon,Georgia,36.0,71833.0,81626.0,153459,GA
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,FL
League City,Texas,35.9,49354.0,48996.0,98350,TX
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,CA
Napa,California,37.2,39828.0,40601.0,80429,CA
Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,FL
Largo,Florida,45.1,38166.0,42841.0,81007,FL
Fullerton,California,34.5,69549.0,71300.0,140849,CA
Lake Forest,California,40.3,41515.0,40982.0,82497,CA
Southfield,Michigan,41.6,31369.0,41808.0,73177,MI
Renton,Washington,36.3,52779.0,47468.0,100247,WA
Duluth,Minnesota,34.7,41271.0,44855.0,86126,MN
Laguna Niguel,California,45.8,30193.0,35619.0,65812,CA
Pine Hills,Florida,29.2,35344.0,40737.0,76081,FL
Ellicott City,Maryland,42.4,34406.0,36526.0,70932,MD
Kennewick,Washington,32.0,38492.0,40411.0,78903,WA
Oxnard,California,31.0,101906.0,105346.0,207252,CA
Bossier City,Louisiana,32.7,33428.0,34669.0,68097,LA
Waukegan,Illinois,32.3,45514.0,42833.0,88347,IL
Eugene,Oregon,33.4,79071.0,84377.0,163448,OR
Bk,California,37.0,50405.0,54909.0,105314,CA
Mesa,Arizona,36.9,234998.0,236835.0,471833,AZ
Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,MN
Yonkers,New York,38.0,96580.0,104538.0,201118,NY
Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,PA
Lakewood,California,39.9,41523.0,40069.0,81592,CA
San Ramon,California,39.1,39221.0,36911.0,76132,CA
Simi Valley,California,39.0,63243.0,63523.0,126766,CA
Reno,Nevada,35.7,122292.0,119151.0,241443,NV
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,AR
Moreno Valley,California,30.7,98584.0,105597.0,204181,CA
Hawthorne,California,33.7,43682.0,44762.0,88444,CA
Delray Beach,Florida,47.9,32219.0,34042.0,66261,FL
Bellevue,Washington,37.4,70763.0,69051.0,139814,WA
Cicero,Illinois,28.5,43153.0,40714.0,83867,IL
Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,SD
Corpus Christi,Texas,35.0,160488.0,163594.0,324082,TX
Merced,California,29.7,40048.0,42392.0,82440,CA
Merced,California,29.7,40048.0,42392.0,82440,CA
Lansing,Michigan,31.4,54333.0,59777.0,114110,MI
Springfield,Missouri,34.1,81057.0,85741.0,166798,MO
Spokane Valley,Washington,36.0,49933.0,44975.0,94908,WA
Gary,Indiana,38.1,35876.0,41478.0,77354,IN
Redondo Beach,California,43.0,34855.0,33330.0,68185,CA
Mission,Texas,32.9,40530.0,42777.0,83307,TX
Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,OK
Palm Coast,Florida,48.8,39489.0,42632.0,82121,FL
Orlando,Florida,33.1,130940.0,139977.0,270917,FL
Naperville,Illinois,38.5,71365.0,75794.0,147159,IL
Naperville,Illinois,38.5,71365.0,75794.0,147159,IL
Jackson,Mississippi,31.7,79039.0,91772.0,170811,MS
Parma,Ohio,40.8,38425.0,41518.0,79943,OH
San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,PR
Roanoke,Virginia,36.9,47252.0,52645.0,99897,VA
Goodyear,Arizona,38.6,36711.0,42292.0,79003,AZ
Goodyear,Arizona,38.6,36711.0,42292.0,79003,AZ
Lowell,Massachusetts,33.4,54422.0,56298.0,110720,MA
Plymouth,Minnesota,38.4,39035.0,36893.0,75928,MN
Las Vegas,Nevada,37.5,310568.0,313201.0,623769,NV
Warner Robins,Georgia,31.4,35093.0,38909.0,74002,GA
Yakima,Washington,34.0,45147.0,48553.0,93700,WA
Dayton,Ohio,32.8,66631.0,73966.0,140597,OH
Fort Worth,Texas,32.6,414126.0,422843.0,836969,TX
Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,MA
Bend,Oregon,37.3,42294.0,44723.0,87017,OR
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,CA
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,CT
Gainesville,Florida,26.0,60803.0,69330.0,130133,FL
Oakland,California,35.7,203827.0,215451.0,419278,CA
Carmichael,California,41.0,29281.0,33934.0,63215,CA
Dale City,Virginia,33.4,35984.0,35415.0,71399,VA
Longview,Texas,36.8,40065.0,41525.0,81590,TX
Upland,California,39.7,36226.0,40221.0,76447,CA
Rancho Cordova,California,33.8,34844.0,36182.0,71026,CA
Costa Mesa,California,34.8,59097.0,54089.0,113186,CA
Lakewood,Colorado,37.7,76013.0,76576.0,152589,CO
Savannah,Georgia,30.3,69389.0,76295.0,145684,GA
Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,KY
Sacramento,California,33.7,237724.0,252991.0,490715,CA
Sacramento,California,33.7,237724.0,252991.0,490715,CA
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,FL
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,FL
Detroit,Michigan,34.8,319265.0,357859.0,677124,MI
Albany,New York,32.8,47627.0,50825.0,98452,NY
